COUNTYNAME,TOWNNAME,Elderly65
南投縣,中寮鄉,3541
南投縣,仁愛鄉,2237
南投縣,信義鄉,2371
南投縣,南投市,19750
南投縣,名間鄉,8078
南投縣,國姓鄉,4207
南投縣,埔里鎮,16601
南投縣,水里鄉,4288
南投縣,竹山鎮,11740
南投縣,草屯鎮,19345
南投縣,集集鎮,2386
南投縣,魚池鄉,3635
南投縣,鹿谷鄉,4501
嘉義市,東區,23845
嘉義市,西區,26256
嘉義縣,中埔鄉,9557
嘉義縣,六腳鄉,6102
嘉義縣,大埔鄉,948
嘉義縣,大林鎮,7275
嘉義縣,太保市,6226
嘉義縣,布袋鎮,5910
嘉義縣,新港鄉,7143
嘉義縣,朴子市,8585
嘉義縣,東石鄉,5768
嘉義縣,梅山鄉,4834
嘉義縣,民雄鄉,13860
嘉義縣,水上鄉,10348
嘉義縣,溪口鄉,3579
嘉義縣,番路鄉,2697
嘉義縣,竹崎鄉,8191
嘉義縣,義竹鄉,4842
嘉義縣,阿里山鄉,1034
嘉義縣,鹿草鄉,4165
基隆市,七堵區,10692
基隆市,中山區,9933
基隆市,中正區,11582
基隆市,仁愛區,9809
基隆市,信義區,11449
基隆市,安樂區,16149
基隆市,暖暖區,7230
宜蘭縣,三星鄉,4755
宜蘭縣,五結鄉,8004
宜蘭縣,冬山鄉,10634
宜蘭縣,南澳鄉,797
宜蘭縣,員山鄉,6284
宜蘭縣,壯圍鄉,4893
宜蘭縣,大同鄉,810
宜蘭縣,宜蘭市,17863
宜蘭縣,礁溪鄉,7405
宜蘭縣,羅東鎮,13793
宜蘭縣,蘇澳鎮,8596
宜蘭縣,頭城鎮,5784
屏東縣,三地門鄉,1139
屏東縣,九如鄉,4381
屏東縣,佳冬鄉,4429
屏東縣,來義鄉,1083
屏東縣,內埔鄉,11630
屏東縣,南州鄉,2575
屏東縣,屏東市,38662
屏東縣,崁頂鄉,2960
屏東縣,恆春鎮,5263
屏東縣,新園鄉,6876
屏東縣,新埤鄉,2400
屏東縣,春日鄉,737
屏東縣,東港鎮,8210
屏東縣,枋寮鄉,5512
屏東縣,枋山鄉,1097
屏東縣,林邊鄉,4130
屏東縣,泰武鄉,702
屏東縣,滿州鄉,1620
屏東縣,潮州鎮,10619
屏東縣,牡丹鄉,833
屏東縣,獅子鄉,815
屏東縣,琉球鄉,2522
屏東縣,瑪家鄉,980
屏東縣,竹田鄉,4048
屏東縣,萬丹鄉,9803
屏東縣,萬巒鄉,4594
屏東縣,車城鄉,1986
屏東縣,里港鄉,5126
屏東縣,長治鄉,6289
屏東縣,霧臺鄉,572
屏東縣,高樹鄉,6193
屏東縣,鹽埔鄉,5004
屏東縣,麟洛鄉,2742
彰化縣,二林鎮,10432
彰化縣,二水鄉,3676
彰化縣,伸港鄉,6142
彰化縣,北斗鎮,6315
彰化縣,和美鎮,15200
彰化縣,員林市,22935
彰化縣,埔心鄉,6177
彰化縣,埔鹽鄉,6357
彰化縣,埤頭鄉,6065
彰化縣,大城鄉,3995
彰化縣,大村鄉,6779
彰化縣,彰化市,43821
彰化縣,永靖鄉,6879
彰化縣,溪州鄉,6194
彰化縣,溪湖鎮,9471
彰化縣,田中鎮,8504
彰化縣,田尾鄉,5102
彰化縣,社頭鄉,8021
彰化縣,福興鄉,8377
彰化縣,秀水鄉,6669
彰化縣,竹塘鄉,3509
彰化縣,線西鄉,2977
彰化縣,芬園鄉,4843
彰化縣,花壇鄉,8176
彰化縣,芳苑鄉,7410
彰化縣,鹿港鎮,14898
新北市,三峽區,18706
新北市,三芝區,5210
新北市,三重區,75447
新北市,中和區,87635
新北市,五股區,13965
新北市,八里區,7251
新北市,土城區,40757
新北市,坪林區,1983
新北市,平溪區,1386
新北市,新店區,70530
新北市,新莊區,69298
新北市,板橋區,108543
新北市,林口區,18990
新北市,樹林區,30361
新北市,永和區,50461
新北市,汐止區,38481
新北市,泰山區,12705
新北市,淡水區,38683
新北市,深坑區,4696
新北市,烏來區,1165
新北市,瑞芳區,8287
新北市,石碇區,1998
新北市,石門區,2311
新北市,萬里區,4898
新北市,蘆洲區,31185
新北市,貢寮區,2820
新北市,金山區,4182
新北市,雙溪區,2459
新北市,鶯歌區,14099
新竹市,北區,26167
新竹市,東區,31765
新竹市,香山區,12451
新竹縣,五峰鄉,698
新竹縣,北埔鄉,2069
新竹縣,寶山鄉,2738
新竹縣,尖石鄉,1070
新竹縣,峨眉鄉,1535
新竹縣,新埔鎮,7343
新竹縣,新豐鄉,8212
新竹縣,橫山鄉,3066
新竹縣,湖口鄉,12324
新竹縣,竹北市,20601
新竹縣,竹東鎮,16012
新竹縣,芎林鄉,4169
新竹縣,關西鎮,6251
桃園市,中壢區,68639
桃園市,八德區,34243
桃園市,大園區,13429
桃園市,大溪區,17580
桃園市,平鎮區,36683
桃園市,復興區,2007
桃園市,新屋區,10182
桃園市,桃園區,74752
桃園市,楊梅區,27599
桃園市,蘆竹區,23323
桃園市,觀音區,11313
桃園市,龍潭區,22596
桃園市,龜山區,29129
澎湖縣,七美鄉,825
澎湖縣,望安鄉,1319
澎湖縣,湖西鄉,3255
澎湖縣,白沙鄉,2219
澎湖縣,西嶼鄉,2128
澎湖縣,馬公市,11729
臺中市,中區,4045
臺中市,北區,29549
臺中市,北屯區,46978
臺中市,南區,19693
臺中市,南屯區,24077
臺中市,后里區,9714
臺中市,和平區,2371
臺中市,外埔區,5562
臺中市,大安區,3607
臺中市,大甲區,13642
臺中市,大肚區,9983
臺中市,大里區,33221
臺中市,大雅區,13483
臺中市,太平區,31499
臺中市,新社區,5265
臺中市,東勢區,11504
臺中市,東區,14702
臺中市,梧棲區,9410
臺中市,沙鹿區,14077
臺中市,清水區,15929
臺中市,潭子區,17009
臺中市,烏日區,12531
臺中市,石岡區,3294
臺中市,神岡區,11324
臺中市,西區,22744
臺中市,西屯區,34874
臺中市,豐原區,29972
臺中市,霧峰區,12524
臺中市,龍井區,11665
臺北市,中山區,51973
臺北市,中正區,33645
臺北市,信義區,51320
臺北市,內湖區,52695
臺北市,北投區,53565
臺北市,南港區,23671
臺北市,士林區,63863
臺北市,大同區,27379
臺北市,大安區,72468
臺北市,文山區,54449
臺北市,松山區,46096
臺北市,萬華區,43334
臺南市,七股區,4895
臺南市,下營區,5659
臺南市,中西區,16934
臺南市,仁德區,14354
臺南市,佳里區,11903
臺南市,六甲區,4858
臺南市,北區,25111
臺南市,北門區,2324
臺南市,南化區,2204
臺南市,南區,26594
臺南市,善化區,8807
臺南市,大內區,2575
臺南市,學甲區,5552
臺南市,安南區,31075
臺南市,安定區,5658
臺南市,安平區,10525
臺南市,官田區,4373
臺南市,將軍區,4686
臺南市,山上區,1666
臺南市,左鎮區,1355
臺南市,後壁區,6246
臺南市,新化區,8882
臺南市,新市區,6185
臺南市,新營區,15684
臺南市,東區,34497
臺南市,東山區,5290
臺南市,柳營區,4947
臺南市,楠西區,2462
臺南市,歸仁區,12209
臺南市,永康區,36323
臺南市,玉井區,3557
臺南市,白河區,7325
臺南市,西港區,5039
臺南市,關廟區,7685
臺南市,鹽水區,5707
臺南市,麻豆區,9825
臺南市,龍崎區,1144
臺東縣,卑南鄉,3472
臺東縣,大武鄉,1110
臺東縣,太麻里鄉,2402
臺東縣,延平鄉,402
臺東縣,成功鎮,3201
臺東縣,東河鄉,2127
臺東縣,池上鄉,1960
臺東縣,海端鄉,475
臺東縣,綠島鄉,612
臺東縣,臺東市,19435
