COUNTYNAME,Population,Births,BirthRate,PopChange
新北市,4044255,16310,4.03,4215
臺中市,2860087,16112,5.63,14712
高雄市,2730083,15491,5.67,-6541
臺北市,2490196,17122,6.88,-20953
桃園市,2338146,16972,7.26,21189
臺南市,1858185,9069,4.88,-1270
彰化縣,1225358,8945,7.3,-13353
屏東縣,788868,4407,5.59,-5749
雲林縣,658176,6923,10.52,-1027
新竹縣,594609,3712,6.24,5354
苗栗縣,532777,2348,4.41,-1717
嘉義縣,478613,2191,4.58,-5755
南投縣,471595,2413,5.12,-4794
新竹市,457126,3025,6.62,764
宜蘭縣,449203,2443,5.44,-677
基隆市,361386,1337,3.7,-802
花蓮縣,314427,1762,5.6,-2097
嘉義市,262088,1118,4.27,-1405
臺東縣,210155,1559,7.42,-1316
金門縣,139887,707,5.05,-476
澎湖縣,107833,781,7.24,165
連江縣,12459,109,8.75,-127
