COUNTYNAME,TOWNNAME,Elderly65,Institutions,Beds,BedsPer1000
南投縣,中寮鄉,3541,0,0,0.0
南投縣,仁愛鄉,2237,0,0,0.0
南投縣,信義鄉,2371,0,0,0.0
南投縣,南投市,19750,8,833,42.2
南投縣,名間鄉,8078,2,92,11.4
南投縣,國姓鄉,4207,0,0,0.0
南投縣,埔里鎮,16601,2,260,15.7
南投縣,水里鄉,4288,0,0,0.0
南投縣,竹山鎮,11740,3,130,11.1
南投縣,草屯鎮,19345,4,176,9.1
南投縣,集集鎮,2386,0,0,0.0
南投縣,魚池鄉,3635,0,0,0.0
南投縣,鹿谷鄉,4501,0,0,0.0
嘉義市,東區,23845,12,1186,49.7
嘉義市,西區,26256,5,282,10.7
嘉義縣,中埔鄉,9557,3,129,13.5
嘉義縣,六腳鄉,6102,0,0,0.0
嘉義縣,大埔鄉,948,0,0,0.0
嘉義縣,大林鎮,7275,8,436,59.9
嘉義縣,太保市,6226,2,52,8.4
嘉義縣,布袋鎮,5910,0,0,0.0
嘉義縣,新港鄉,7143,0,0,0.0
嘉義縣,朴子市,8585,2,91,10.6
嘉義縣,東石鄉,5768,2,73,12.7
嘉義縣,梅山鄉,4834,0,0,0.0
嘉義縣,民雄鄉,13860,5,214,15.4
嘉義縣,水上鄉,10348,0,0,0.0
嘉義縣,溪口鄉,3579,1,138,38.6
嘉義縣,番路鄉,2697,1,90,33.4
嘉義縣,竹崎鄉,8191,3,147,17.9
嘉義縣,義竹鄉,4842,1,44,9.1
嘉義縣,阿里山鄉,1034,0,0,0.0
嘉義縣,鹿草鄉,4165,0,0,0.0
基隆市,七堵區,10692,5,194,18.1
基隆市,中山區,9933,0,0,0.0
基隆市,中正區,11582,3,101,8.7
基隆市,仁愛區,9809,4,148,15.1
基隆市,信義區,11449,6,226,19.7
基隆市,安樂區,16149,7,772,47.8
基隆市,暖暖區,7230,3,380,52.6
宜蘭縣,三星鄉,4755,2,171,36.0
宜蘭縣,五結鄉,8004,4,375,46.9
宜蘭縣,冬山鄉,10634,3,138,13.0
宜蘭縣,南澳鄉,797,1,36,45.2
宜蘭縣,員山鄉,6284,2,223,35.5
宜蘭縣,壯圍鄉,4893,0,0,0.0
宜蘭縣,大同鄉,810,0,0,0.0
宜蘭縣,宜蘭市,17863,17,764,42.8
宜蘭縣,礁溪鄉,7405,2,160,21.6
宜蘭縣,羅東鎮,13793,6,444,32.2
宜蘭縣,蘇澳鎮,8596,2,85,9.9
宜蘭縣,頭城鎮,5784,1,40,6.9
屏東縣,三地門鄉,1139,1,30,26.3
屏東縣,九如鄉,4381,2,98,22.4
屏東縣,佳冬鄉,4429,2,98,22.1
屏東縣,來義鄉,1083,0,0,0.0
