COUNTYNAME,TOWNNAME,Population,Restaurants,PeoplePerStore,PopChange
新北市,板橋區,549536,4600,119,-2127
桃園市,桃園區,478482,4751,101,2689
桃園市,中壢區,439212,6214,71,4163
新北市,新莊區,421232,3288,128,-2262
新北市,中和區,403781,3072,131,-2164
新北市,三重區,382778,2990,128,-577
高雄市,鳳山區,352996,2095,168,-2175
高雄市,三民區,328705,2442,135,-1468
臺中市,北屯區,317069,2989,106,6217
新北市,新店區,306689,1951,157,303
臺北市,大安區,282328,5505,51,-7580
臺北市,內湖區,267959,2631,102,-5789
臺北市,士林區,258010,3152,82,-6031
臺北市,文山區,253795,1896,134,-4502
新北市,土城區,242704,1440,169,1489
臺中市,西屯區,238052,4716,50,1232
臺南市,永康區,235797,2824,83,182
臺北市,北投區,235661,1815,130,-4948
桃園市,平鎮區,228210,1487,153,-1179
新竹市,東區,222212,4352,51,-1824
新竹縣,竹北市,220970,2307,96,1369
彰化縣,彰化市,220355,2265,97,-3200
桃園市,八德區,215582,1696,127,1351
新北市,汐止區,212754,1424,149,1942
臺北市,中山區,212109,5453,39,-3093
新北市,永和區,211536,1844,115,-2205
臺中市,大里區,211094,1626,130,-1072
新北市,淡水區,207967,1639,127,7290
臺南市,安南區,204534,1801,114,696
臺中市,太平區,201528,1373,147,1533
臺北市,信義區,201132,3722,54,-3624
高雄市,左營區,197621,1875,105,-163
新北市,蘆洲區,196371,1419,138,-1988
高雄市,楠梓區,195421,1548,126,1211
屏東縣,屏東市,191178,2460,78,-1205
桃園市,龜山區,188328,1962,96,4433
臺北市,松山區,187318,3330,56,-4508
臺中市,南屯區,186104,2517,74,913
桃園市,楊梅區,182835,1189,154,1311
臺南市,東區,180777,2777,65,-1110
新北市,樹林區,177403,1082,164,-1568
高雄市,前鎮區,176842,1276,139,-1445
桃園市,蘆竹區,170550,1447,118,620
臺北市,萬華區,168649,2192,77,-3239
臺中市,豐原區,161771,1455,111,-1392
高雄市,苓雅區,161185,1390,116,-2110
新竹市,北區,153808,1498,103,20
高雄市,小港區,153310,674,227,-1044
嘉義市,西區,144994,2057,70,142
臺北市,中正區,144082,3409,42,-4264
臺中市,北區,143338,2766,52,-27
高雄市,鼓山區,140780,972,145,-486
新北市,林口區,138408,1139,122,2379
臺中市,南區,128299,1615,79,1123
桃園市,龍潭區,127349,1418,90,93
臺南市,北區,125342,1946,64,-382
彰化縣,員林市,122148,1386,88,-594
臺南市,南區,119119,1098,108,-1201
臺北市,大同區,116566,2191,53,-2366
嘉義市,東區,116507,1843,63,-729
新北市,三峽區,114820,849,135,-325
臺中市,西區,113141,2849,40,-594
高雄市,大寮區,112177,437,257,20
臺北市,南港區,111239,1322,84,-1404
臺中市,潭子區,109314,791,138,-101
雲林縣,斗六市,108946,1204,90,-49
苗栗縣,頭份市,108231,879,123,753
臺東縣,臺東市,102621,2070,50,-436
臺中市,沙鹿區,101419,1057,96,1267
高雄市,仁武區,100311,530,189,1355
新竹縣,竹東鎮,97889,525,186,162
南投縣,草屯鎮,97724,826,118,577
花蓮縣,花蓮市,96526,2973,32,-1459
南投縣,南投市,96213,915,105,-811
臺中市,大雅區,94734,925,102,-488
新北市,五股區,94717,485,195,857
高雄市,岡山區,94624,787,120,-551
宜蘭縣,宜蘭市,94561,1398,68,-329
桃園市,大溪區,93792,799,117,-603
苗栗縣,竹南鎮,91535,927,99,867
臺中市,清水區,90640,632,143,139
桃園市,大園區,89713,1002,90,1553
新北市,鶯歌區,89501,538,166,162
彰化縣,和美鎮,86635,545,159,-735
苗栗縣,苗栗市,85778,790,109,-198
新竹縣,湖口鄉,84962,707,120,1217
花蓮縣,吉安鄉,83004,1025,81,-129
臺中市,烏日區,82248,592,139,964
彰化縣,鹿港鎮,82212,804,102,-1376
基隆市,安樂區,79833,394,203,-204
新竹市,香山區,79606,436,183,304
臺中市,龍井區,79241,659,120,211
新北市,泰山區,78083,553,141,416
臺中市,東區,77742,1260,62,57
桃園市,觀音區,77526,554,140,1652
臺南市,仁德區,77496,872,89,-78
臺南市,中西區,75799,2857,27,-1322
南投縣,埔里鎮,75051,870,86,-669
臺南市,新營區,74493,1184,63,-289
臺中市,大甲區,73108,655,112,-1098
雲林縣,虎尾鎮,71348,796,90,445
臺南市,安平區,71256,928,77,935
臺南市,歸仁區,70557,788,90,759
嘉義縣,民雄鄉,69716,649,107,-207
宜蘭縣,羅東鎮,68960,1070,64,-678
高雄市,林園區,67341,225,299,-562
臺中市,梧棲區,65685,550,119,2984
臺中市,神岡區,63271,360,176,-736
澎湖縣,馬公市,63217,697,91,-793
臺中市,霧峰區,62627,575,109,-715
新竹縣,新豐鄉,59839,400,150,505
臺南市,佳里區,58328,795,73,-142
臺中市,大肚區,55255,277,199,-453
臺南市,善化區,53888,1728,31,588
屏東縣,潮州鎮,53715,595,90,150
宜蘭縣,冬山鄉,52938,371,143,-179
彰化縣,溪湖鎮,52832,386,137,-553
臺中市,后里區,52754,1055,50,-555
屏東縣,內埔鄉,52735,561,94,123
基隆市,信義區,52564,362,145,-627
基隆市,七堵區,52169,350,149,-359
基隆市,中正區,51542,736,70,592
南投縣,竹山鎮,49905,373,134,-720
桃園市,新屋區,49723,364,137,334
高雄市,新興區,49380,777,64,-193
高雄市,路竹區,48902,376,130,-809
雲林縣,麥寮鄉,48815,221,221,-1186
屏東縣,萬丹鄉,48586,215,226,-360
嘉義縣,水上鄉,46932,248,189,-434
臺中市,東勢區,46488,270,172,-600
彰化縣,二林鎮,46385,319,145,-703
屏東縣,東港鎮,45879,518,89,-57
基隆市,中山區,45556,316,144,-303
彰化縣,福興鄉,44284,169,262,-489
雲林縣,西螺鎮,43973,337,130,-338
高雄市,鳥松區,43680,197,222,-529
新北市,八里區,43424,270,161,824
高雄市,橋頭區,43341,211,205,670
雲林縣,斗南鎮,43297,329,132,-185
苗栗縣,苑裡鎮,43237,257,168,-209
臺南市,麻豆區,42869,534,80,-163
彰化縣,花壇鄉,42816,260,165,-522
臺南市,新化區,41836,387,108,-352
宜蘭縣,五結鄉,41737,270,155,137
嘉義縣,中埔鄉,41673,246,169,-517
金門縣,金城鎮,40773,334,122,-1618
彰化縣,社頭鄉,40269,214,188,-570
嘉義縣,朴子市,39950,460,87,-459
嘉義縣,太保市,39881,431,93,575
基隆市,仁愛區,39687,1183,34,-826
高雄市,大樹區,39366,231,170,-248
彰化縣,大村鄉,38919,179,217,-555
基隆市,暖暖區,38434,216,178,126
臺南市,新市區,38279,861,44,366
彰化縣,田中鎮,38149,215,177,-528
彰化縣,伸港鄉,38145,170,224,-277
彰化縣,秀水鄉,37356,171,218,-417
雲林縣,北港鎮,37053,365,102,-459
宜蘭縣,礁溪鄉,36629,500,73,1230
宜蘭縣,蘇澳鎮,36413,404,90,-469
高雄市,美濃區,36074,164,220,-471
新北市,瑞芳區,35623,311,115,-707
高雄市,梓官區,34701,150,231,-91
南投縣,名間鄉,34490,170,203,-575
彰化縣,永靖鄉,34177,145,236,-487
高雄市,大社區,33741,292,116,-13
新竹縣,新埔鎮,33561,181,185,97
苗栗縣,後龍鎮,33517,210,160,-171
高雄市,旗山區,33367,199,168,-451
臺南市,關廟區,33180,288,115,150
金門縣,金寧鄉,33117,100,331,-353
彰化縣,北斗鎮,33099,337,98,-139
彰化縣,埔心鄉,33082,155,213,-284
宜蘭縣,員山鄉,32216,169,191,239
嘉義縣,竹崎鄉,32145,176,183,-599
屏東縣,新園鄉,31696,131,242,-495
臺中市,外埔區,30823,82,376,-79
苗栗縣,通霄鎮,30618,163,188,-275
苗栗縣,公館鄉,30461,160,190,-410
彰化縣,埔鹽鄉,30040,50,601,-506
彰化縣,芳苑鄉,29880,83,360,-734
臺南市,安定區,29783,697,43,-59
金門縣,金湖鎮,29642,191,155,-633
嘉義縣,大林鎮,29542,241,123,-68
高雄市,湖內區,29295,153,191,-101
屏東縣,長治鄉,29192,126,232,-37
雲林縣,古坑鄉,29188,285,102,-361
嘉義縣,新港鄉,29006,142,204,-611
屏東縣,恆春鎮,28770,504,57,-605
高雄市,茄萣區,28732,103,279,-227
高雄市,燕巢區,28103,250,112,-208
彰化縣,埤頭鄉,27997,112,250,-487
宜蘭縣,頭城鎮,27868,280,100,-114
高雄市,前金區,27670,476,58,471
彰化縣,溪州鄉,27248,96,284,-447
雲林縣,土庫鎮,27234,111,245,-127
雲林縣,莿桐鄉,27201,104,262,-249
高雄市,阿蓮區,26703,125,214,-346
新竹縣,關西鎮,26003,184,141,-377
彰化縣,田尾鄉,25251,79,320,-274
屏東縣,里港鄉,24948,101,247,-399
高雄市,旗津區,24906,90,277,-681
臺南市,白河區,24894,304,82,-440
臺南市,西港區,24803,217,114,-192
宜蘭縣,壯圍鄉,24479,135,181,10
臺南市,學甲區,24365,293,83,-172
雲林縣,二崙鄉,24165,51,474,-477
雲林縣,口湖鄉,23945,54,443,-647
臺南市,鹽水區,23635,333,71,-334
新北市,深坑區,23592,209,113,10
嘉義縣,布袋鎮,23589,163,145,-532
屏東縣,鹽埔鄉,23106,75,308,-423
